found,pred_error,window_size,steps,fell_back,elapsed_ns,phase,index
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,1000,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,700,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,11000,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,700,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,1000,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,1000,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
False,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,1000,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
False,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
False,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,900,0,bisect
True,0,30000,15,False,800,0,bisect
